,companyName,datePublished,ratingValue,reviewBody
0,DuGood Credit Union,2022-06-09,Rated 5 out of 5 stars,The person who called me to verify information was very polite
1,DuGood Credit Union,2022-06-09,Rated 5 out of 5 stars,Nice envoirment.
2,DuGood Credit Union,2022-06-08,Rated 5 out of 5 stars,
3,DuGood Credit Union,2022-06-08,Rated 5 out of 5 stars,
4,DuGood Credit Union,2022-06-08,Rated 5 out of 5 stars,We always have the best experience at this branch. Tammy is always a joy to work with. All the employees are extremely friendly and helpful
5,DuGood Credit Union,2022-06-07,Rated 5 out of 5 stars,"Easy to communicate with, helpful fast on making me a loan and worked with my schedule to make is fast and easy."
6,DuGood Credit Union,2022-06-07,Rated 5 out of 5 stars,The service was really good and I’ll be telling everyone about it.
7,DuGood Credit Union,2022-06-07,Rated 5 out of 5 stars,I have been banking with DuGood Credit Union for a while now and I have had nothing but good experiences with them. The ease of banking with them is great and I always feel like my money is in good hands with them. They have always been very trustworthy and have provided me with the best benefit plans. The environment at the credit union is also very friendly and I always feel welcomed when I go in. I would highly recommend DuGood Credit Union to anyone looking for a great banking experience.
8,DuGood Credit Union,2022-06-06,Rated 5 out of 5 stars,I had very good experience. They've always done us right. Exceptional service 5 stars
9,DuGood Credit Union,2022-06-04,Rated 5 out of 5 stars,"This was my first time to ever try to get a loan, I was really nervous.  The one that helped me was very nice, understood me & explained everything to me.  I am very thankful for the service that I received."
10,DuGood Credit Union,2022-06-04,Rated 5 out of 5 stars,
11,DuGood Credit Union,2022-06-03,Rated 5 out of 5 stars,
12,DuGood Credit Union,2022-06-03,Rated 5 out of 5 stars,Jennifer at the jasper branch took the time to show us what accounts were available and helped us decide what suited our needs.  She set everything up including debit card quick and efficiently.  Looking forward to doing business with DuGood.
13,DuGood Credit Union,2022-06-03,Rated 5 out of 5 stars,Very professional and thorough explanation of benefits. Thankful that my new car loan is through DuGood.
14,DuGood Credit Union,2022-06-03,Rated 5 out of 5 stars,Very friendly and courteous extremely knowledgeable great experience
15,DuGood Credit Union,2022-06-03,Rated 5 out of 5 stars,"Everything about switching to Dugood was absolutely fantastic. Stephanie Gallo was extremely helpful in every way. The staff at the branch was wonderful. Everything was flawless. Thank you to everybody at Dugood. Sincerely, Steven Wistner."
16,DuGood Credit Union,2022-06-03,Rated 5 out of 5 stars,I would recommend this bank to other people because my experience was great 😊 She was very thorough and very patient with me during all my questions. I appreciate that she went over all the many different options that I had to choose from without feelings of being rushed. Thank you
17,DuGood Credit Union,2022-06-02,Rated 5 out of 5 stars,Sara Newton was quick to respond to my online application. She answered all questions and was friendly and courteous.
18,DuGood Credit Union,2022-06-02,Rated 5 out of 5 stars,Thank You for helping Me out.The Lady that filled out the Application Was a Very Nice Lady.
19,DuGood Credit Union,2022-06-02,Rated 5 out of 5 stars,
20,DuGood Credit Union,2022-06-02,Rated 5 out of 5 stars,The people was so very nice and helpful to me they did a great job
21,DuGood Credit Union,2022-06-02,Rated 5 out of 5 stars,"I bought a gift card on this site, I recommend everything well ."
22,DuGood Credit Union,2022-05-31,Rated 5 out of 5 stars,
23,DuGood Credit Union,2022-05-31,Rated 5 out of 5 stars,Love and respect
24,DuGood Credit Union,2022-05-30,Rated 5 out of 5 stars,"Intelligent,  professional and efficient employees.  They treat us like a priority and are always a pleasure to work with.  Thank you DuGood!"
25,DuGood Credit Union,2022-05-29,Rated 5 out of 5 stars,Awesome experience. The loan officer was very good and helpful.
26,DuGood Credit Union,2022-05-29,Rated 4 out of 5 stars,
27,DuGood Credit Union,2022-05-29,Rated 5 out of 5 stars,"I was met with smiling courteous employee. She was very helpful, offered options when available. Finished my business in a timely manner"
28,DuGood Credit Union,2022-05-29,Rated 5 out of 5 stars,I talked to both Mrs. A and Mrs. C and they were wonderful helping an old senior. I would easily recommend both. Thanks
29,DuGood Credit Union,2022-05-28,Rated 5 out of 5 stars,Nice service. Good bank.
30,DuGood Credit Union,2022-05-28,Rated 5 out of 5 stars,I talked to both Mrs. A and Mrs. C and they were wonderful helping an old senior.  I would easily recommend both.  Thanks
31,DuGood Credit Union,2022-05-28,Rated 5 out of 5 stars,
32,DuGood Credit Union,2022-05-28,Rated 5 out of 5 stars,I purchased a jeep from mike smith vw they went to Mobil credit union and they declined so mike smith gave it to y’all your person called me and set up to get me ready for the payments very good experience
33,DuGood Credit Union,2022-05-27,Rated 5 out of 5 stars,"Kennedie with DuGood help me secure a personal loan for medical expenses. Overall, it was a smooth experience and she was very informative and helpful throughout the loan application process. I was approved for the loan and in and out within 15 minutes. Like always, DuGood makes banking easy."
34,DuGood Credit Union,2022-05-27,Rated 5 out of 5 stars,Amanda explained everything to me and answered all my questions. Great customer service
35,DuGood Credit Union,2022-05-26,Rated 5 out of 5 stars,"Fast, friendly, and easy to use online banking!  Love the convenience!  Saves time and gas!"
36,DuGood Credit Union,2022-05-26,Rated 5 out of 5 stars,
37,DuGood Credit Union,2022-05-26,Rated 5 out of 5 stars,She filled me in information and if I had questions she explained then very well. She made sure I knew what the benefits of things were and how I should go about spending money and getting ver spending. Absolute great service and people with great attitudes and love for their jobs
38,DuGood Credit Union,2022-05-25,Rated 5 out of 5 stars,Everyone we dealt with was both polite and professional.  We felt confident with our decision to open an account with this branch.
39,DuGood Credit Union,2022-05-24,Rated 5 out of 5 stars,"A young Lady by the name of Kayla , was so very helpful and informative, I really appreciated her taking the time to explain everything to me ."
40,DuGood Credit Union,2022-05-23,Rated 5 out of 5 stars,Had a great experience once again with the loan department at Dugood credit union. Brenda Franks was awesome as usual. Absolutely love doing business with you guys
41,DuGood Credit Union,2022-05-23,Rated 5 out of 5 stars,"Very helpful , informative and fast."
42,DuGood Credit Union,2022-05-23,Rated 5 out of 5 stars,
43,DuGood Credit Union,2022-05-23,Rated 5 out of 5 stars,They are all so helpful and make sure to get you the financial help you need
44,DuGood Credit Union,2022-05-21,Rated 5 out of 5 stars,"Did well ac went out, needed loan to purchase new unit. Dugood was there.Thanks"
45,DuGood Credit Union,2022-05-20,Rated 5 out of 5 stars,
46,DuGood Credit Union,2022-05-20,Rated 5 out of 5 stars,Joan Nale was very helpful and courteous in helping me get my personal loan.
47,DuGood Credit Union,2022-05-20,Rated 5 out of 5 stars,This was such a easy and pleasant transition in a timely manner.
48,DuGood Credit Union,2022-05-20,Rated 5 out of 5 stars,
49,DuGood Credit Union,2022-05-19,Rated 5 out of 5 stars,
50,DuGood Credit Union,2022-05-19,Rated 5 out of 5 stars,Great overall experience. Took care all my needs quickly and professionally!
51,DuGood Credit Union,2022-05-18,Rated 5 out of 5 stars,"Always pleasant to do business with, polite, helpful and just plain good people to work with!"
52,DuGood Credit Union,2022-05-17,Rated 5 out of 5 stars,The loan officer Stephanie was alsome in handling my loan for me and answer all of my questions thank so much Tom Jone
53,DuGood Credit Union,2022-05-16,Rated 5 out of 5 stars,I was very satisfied with my experience at dugood credit union. Mrs. Jennifer  L. Forward was very informative and nice in our visit. I am excited to be a part of dugood credit union banking.
54,DuGood Credit Union,2022-05-15,Rated 5 out of 5 stars,So grateful to be a part of the DG family
55,DuGood Credit Union,2022-05-15,Rated 5 out of 5 stars,I love doing business with a Credit Union where you call and actually get to talk to a local person. Tammy Christopher and her crew is absolutely the best!
56,DuGood Credit Union,2022-05-13,Rated 5 out of 5 stars,Best service from the lady that assisted me.
57,DuGood Credit Union,2022-05-12,Rated 5 out of 5 stars,It was much easier than I thought to join this bank!
58,DuGood Credit Union,2022-05-12,Rated 5 out of 5 stars,Marisa did an excellent job helping me to open an account. She was very knowledgeable about all the different accounts and helped me decide which would be the most beneficial.  She even offered to help me set up online banking -I am totally illiterate when it comes to this stuff!!  Looking forward to coming back.
59,DuGood Credit Union,2022-05-11,Rated 5 out of 5 stars,Kristin Daniel's is the lady who helped me get a loan. She was fast and accurate with everything. She definitely knows how to do her business. I love having my account at Dugood.
60,DuGood Credit Union,2022-05-11,Rated 5 out of 5 stars,"I just recently purchase a new truck and they financed it,  once the papers were signed and approved they called me to go over papers more detailed then dealership had and explained every item I had a question about."
61,DuGood Credit Union,2022-05-10,Rated 5 out of 5 stars,In 2022 a lot of businesses are lacking in customer service skills. When I joined Dugood over 20 years ago customer service was always a priority. Kristin Daniels assisted me with a vehicle loan and demonstrated that it’s still a priority. She was very knowledgeable and very courteous. I appreciate how hard she worked because the dealership was dragging their feet with the title. I am grateful to her and will recommend Dugood to my friends.
62,DuGood Credit Union,2022-05-10,Rated 5 out of 5 stars,"Excellent, I will be doing more business in the near future!!!"
63,DuGood Credit Union,2022-05-09,Rated 5 out of 5 stars,
64,DuGood Credit Union,2022-05-09,Rated 5 out of 5 stars,
65,DuGood Credit Union,2022-05-08,Rated 5 out of 5 stars,Everything went well! Jennifer did amazing
66,DuGood Credit Union,2022-05-07,Rated 5 out of 5 stars,Had a very pleasant experience setting up new accounts with them!
67,DuGood Credit Union,2022-05-05,Rated 5 out of 5 stars,"I recently took out a Home Equity loan with the help of Sandy Ferrell.  She's top notch and I can't compliment her highly enough.  Super knowledgeable, responsive, and otherwise easy to work with.  This is actually the second mortgage that Sandy has helped me with, and she's also handled a home equity loan for my niece and a mortgage for my nephew...he was first time buyer.  Both of them feel as strongly about DuGood and specifically Sandy as I do.  I look forward to doing business with DuGood in the future."
68,DuGood Credit Union,2022-05-05,Rated 5 out of 5 stars,Very helpful and kind!
69,DuGood Credit Union,2022-05-02,Rated 5 out of 5 stars,
70,DuGood Credit Union,2022-04-30,Rated 5 out of 5 stars,Was looking for a loan.  Staff were very polite and helpful.
71,DuGood Credit Union,2022-04-30,Rated 3 out of 5 stars,I dont understand why it takes so long to run a check
72,DuGood Credit Union,2022-04-30,Rated 5 out of 5 stars,Went to the Lumberton branch and had amazing hep and service
73,DuGood Credit Union,2022-04-29,Rated 5 out of 5 stars,
74,DuGood Credit Union,2022-04-29,Rated 5 out of 5 stars,
75,DuGood Credit Union,2022-04-28,Rated 5 out of 5 stars,Just did Bill Consolidation Loan and it was a great experience. Fast and so easy.
76,DuGood Credit Union,2022-04-27,Rated 5 out of 5 stars,Smoothest financing process I’ve ever went through on a home. Sandra Flanigan was amazing to deal with.
77,DuGood Credit Union,2022-04-27,Rated 5 out of 5 stars,Very easy to talk to.  Makes life simple and we need simple these days!!
78,DuGood Credit Union,2022-04-27,Rated 5 out of 5 stars,
79,DuGood Credit Union,2022-04-27,Rated 5 out of 5 stars,Best CUSTOMER SERVICE EXPERIENCE.   Every one was very nice and polite.
80,DuGood Credit Union,2022-04-26,Rated 5 out of 5 stars,Good experience for the first time
